# Colonne scritte: x e numeri random
0.000000000000000000e+00 3.744288020005200890e-01
1.000000000000000056e-01 6.279018001998949439e-01
2.000000000000000111e-01 6.830285108056937116e-01
3.000000000000000444e-01 5.014535488393344620e-01
4.000000000000000222e-01 7.303027973572865372e-01
5.000000000000000000e-01 8.929969137746962549e-01
6.000000000000000888e-01 9.612131577658040715e-01
7.000000000000000666e-01 2.835149298111937499e-01
8.000000000000000444e-01 7.176247004542735120e-02
9.000000000000000222e-01 9.437480630401953174e-01
1.000000000000000000e+00 3.006639256006068406e-01
# Qui il file finisce...
